Filename,Q_Factor,Raw_Size(KB),Compressed_Size(KB),Compression_Rate(%),PSNR(dB),Time(s)
1.bmp,1,8104.22,5499.55,32.14,100.0,10.648
1.bmp,5,8104.22,3303.77,59.23,40.37,7.454
1.bmp,10,8104.22,2410.71,70.25,33.61,5.595
1.bmp,20,8104.22,1747.85,78.43,27.23,4.782
1.bmp,30,8104.22,1483.75,81.69,23.61,4.287
1.bmp,50,8104.22,1283.25,84.17,19.24,3.923
2.bmp,1,8104.22,4089.92,49.53,100.0,8.309
2.bmp,5,8104.22,1954.8,75.88,40.32,5.209
2.bmp,10,8104.22,1412.32,82.57,34.48,4.25
2.bmp,20,8104.22,1207.32,85.1,28.63,3.845
2.bmp,30,8104.22,1142.52,85.9,25.21,3.747
2.bmp,50,8104.22,1090.22,86.55,20.38,3.619
3.bmp,1,8175.94,5277.79,35.45,100.0,10.085
3.bmp,5,8175.94,3058.13,62.6,40.58,6.622
3.bmp,10,8175.94,2263.33,72.32,33.96,5.505
3.bmp,20,8175.94,1689.4,79.34,27.68,4.638
3.bmp,30,8175.94,1456.0,82.19,24.12,4.25
3.bmp,50,8175.94,1265.67,84.52,19.68,4.015
